Time,Canal_Level_PSI,Flow_Meter,Rain_Meter,Sentek_1_sensor_depth,Solar_Radiation,Temp,Wind_Direction
2020-01-12T11:15:00.000Z,1.618,0,0,35.987,459.7399,51.5811,5
2020-01-12T11:30:00.000Z,1.618,0,0,35.974,497.0279,51.6267,5
2020-01-12T11:45:00.000Z,1.6227,0,0,35.987,486.9382,52.5807,5
2020-01-12T12:00:00.000Z,1.6227,0,0,35.994,563.2691,52.7164,347.1368
2020-01-12T12:15:00.000Z,1.618,0,0,36.02,265.8419,52.9874,345.5128
2020-01-12T12:30:00.000Z,1.6227,0,0,36.027,566.3398,53.5725,333.9744
2020-01-12T12:45:00.000Z,1.6227,0,0,36.027,531.2452,54.5568,324.5726
2020-01-12T13:00:00.000Z,1.6134,0,0,36.059,593.5382,54.6013,305.4274
2020-01-12T13:15:00.000Z,1.6134,0,0,36.059,578.623,55.2683,339.5299
2020-01-12T13:30:00.000Z,1.6042,0,0,36.085,460.1785,55.6227,336.453
2020-01-12T13:45:00.000Z,1.6134,0,0,36.105,223.2897,55.4456,326.5385
2020-01-12T14:00:00.000Z,1.6088,0,0,36.118,196.0913,55.1795,329.6154
2020-01-12T14:15:00.000Z,1.5996,0,0,36.125,155.2938,55.0907,352.265
2020-01-12T14:30:00.000Z,1.595,0,0,36.171,174.5959,54.824,354.0598
2020-01-12T14:45:00.000Z,1.5996,0,0,36.171,158.8033,54.6013,188.0769
2020-01-12T15:00:00.000Z,1.5996,0,0,36.197,200.4782,54.4676,5
2020-01-12T15:15:00.000Z,1.5996,0,0,36.217,167.1383,54.4676,354.7436
2020-01-12T15:30:00.000Z,1.5903,0,0,36.243,231.6247,54.7795,354.8291
2020-01-12T15:45:00.000Z,1.5903,0,0,36.243,163.1901,54.6013,354.7436
2020-01-12T16:00:00.000Z,1.5903,0,0,36.276,137.3078,54.423,343.8034
2020-01-12T16:15:00.000Z,1.5857,0,0,36.289,98.7037,54.0655,342.0085
2020-01-12T16:30:00.000Z,1.5765,0,0,36.302,55.2741,53.7071,342.094
2020-01-12T16:45:00.000Z,1.5765,0,0,36.328,16.2313,53.2577,342.0085
2020-01-12T17:00:00.000Z,1.5811,0,0,36.315,2.6321,52.7164,342.094
2020-01-12T17:15:00.000Z,1.5719,0,0,36.342,0,51.9455,342.0085
2020-01-12T17:30:00.000Z,1.5719,0,0,36.374,0,51.2613,342.6068
2020-01-12T17:45:00.000Z,1.5719,0,0,36.381,0,50.0657,342.6068
2020-01-12T18:00:00.000Z,1.5673,0,0,36.388,0,49.8806,342.6068
2020-01-12T18:15:00.000Z,1.5673,0,0,36.388,0,50.2966,342.3504
2020-01-12T18:30:00.000Z,1.558,0,0,36.401,0,47.7769,342.3504
2020-01-12T18:45:00.000Z,1.5626,0,0,36.374,0,47.1138,341.5812
2020-01-12T19:00:00.000Z,1.5534,0,0,36.394,0,46.876,341.4957
2020-01-12T19:15:00.000Z,1.5534,0,0,36.388,0,46.876,341.5812
2020-01-12T19:30:00.000Z,1.5534,0,0,36.401,0,46.4464,341.4957
2020-01-12T19:45:00.000Z,1.5396,0,0,36.401,0,46.876,341.5812
2020-01-12T20:00:00.000Z,1.5396,0,0,36.414,0,46.9712,341.5812
2020-01-12T20:15:00.000Z,1.5396,0,0,36.401,0,46.5898,323.1197
2020-01-12T20:30:00.000Z,1.5396,0,0,36.401,0,45.2436,318.8462
2020-01-12T20:45:00.000Z,1.5303,0,0,36.388,0,44.8069,318.7607
2020-01-12T21:00:00.000Z,1.5257,0,0,36.374,0,44.3195,318.7607
2020-01-12T21:15:00.000Z,1.5257,0,0,36.361,0,44.1238,318.8462
2020-01-12T21:30:00.000Z,1.5303,0,0,36.355,0,44.1728,318.7607
2020-01-12T21:45:00.000Z,1.5165,0,0,36.355,0,43.0899,318.8462
2020-01-12T22:00:00.000Z,1.5165,0,0,36.355,0,43.7313,318.8462
2020-01-12T22:15:00.000Z,1.5165,0,0,36.348,0,43.3864,318.8462
2020-01-12T22:30:00.000Z,1.5073,0,0,36.335,0,43.5836,318.8462
2020-01-12T22:45:00.000Z,1.5073,0,0,36.315,0,43.9768,318.8462
2020-01-12T23:00:00.000Z,1.5026,0,0,36.302,0,44.5635,318.7607
2020-01-12T23:15:00.000Z,1.5073,0,0,36.322,0,45.3887,318.7607
2020-01-12T23:30:00.000Z,1.498,0,0,36.309,0,42.494,318.7607
2020-01-12T23:45:00.000Z,1.4934,0,0,36.289,0,40.2758,318.7607
2020-01-13T00:00:00.000Z,1.4934,0,0,36.269,0,39.9179,318.8462
2020-01-13T00:15:00.000Z,1.4934,0,0,36.282,0,40.2248,318.7607
2020-01-13T00:30:00.000Z,1.4934,0,0,36.269,0,40.0203,318.7607
2020-01-13T00:45:00.000Z,1.4842,0,0,36.25,0,39.7128,318.8462
2020-01-13T01:00:00.000Z,1.4796,0,0,36.236,0,39.4042,318.8462
2020-01-13T01:15:00.000Z,1.4796,0,0,36.23,0,39.7641,318.8462
2020-01-13T01:30:00.000Z,1.4749,0,0,36.236,0,39.4557,318.8462
2020-01-13T01:45:00.000Z,1.4749,0,0,36.223,0,39.61,318.8462
2020-01-13T02:00:00.000Z,1.4796,0,0,36.197,0,39.8154,318.8462
2020-01-13T02:15:00.000Z,1.4749,0,0,36.184,0,40.2248,318.8462
2020-01-13T02:30:00.000Z,1.4657,0,0,36.177,0,39.2495,318.8462
2020-01-13T02:45:00.000Z,1.4657,0,0,36.177,0,37.95,318.8462
2020-01-13T03:00:00.000Z,1.4611,0,0,36.158,0,37.2667,318.7607
2020-01-13T03:15:00.000Z,1.4611,0,0,36.144,0,38.1592,318.7607
2020-01-13T03:30:00.000Z,1.4611,0,0,36.138,0,38.68,318.7607
2020-01-13T03:45:00.000Z,1.4611,0,0,36.131,0,38.3157,318.7607
2020-01-13T04:00:00.000Z,1.4519,0,0,36.112,0,38.7838,318.7607
2020-01-13T04:15:00.000Z,1.4473,0,0,36.105,0,38.5761,318.7607
2020-01-13T04:30:00.000Z,1.4473,0,0,36.112,0,39.0428,318.7607
2020-01-13T04:45:00.000Z,1.4473,0,0,36.092,0,39.7641,332.4359
2020-01-13T05:00:00.000Z,1.4473,0,0,36.072,0,39.7641,332.4359
2020-01-13T05:15:00.000Z,1.4473,0,0,36.066,0,39.4042,332.4359
2020-01-13T05:30:00.000Z,1.4426,0,0,36.085,0,39.3011,332.4359
2020-01-13T05:45:00.000Z,1.4426,0,0,36.059,0,39.3011,332.4359
2020-01-13T06:00:00.000Z,1.4426,0,0,36.046,0,39.3011,332.4359
2020-01-13T06:15:00.000Z,1.4426,0,0,36.033,0,39.2495,332.4359
2020-01-13T06:30:00.000Z,1.438,0,0,36.013,0,38.9911,332.4359
2020-01-13T06:45:00.000Z,1.4426,0,0,36.027,0,38.7838,332.4359
2020-01-13T07:00:00.000Z,1.4334,0,0,36.02,0,38.5761,332.4359
2020-01-13T07:15:00.000Z,1.4334,0,0,36.02,10.9671,37.6878,332.3504
2020-01-13T07:30:00.000Z,1.4288,0,0,36.007,9.2123,37.3721,332.4359
2020-01-13T07:45:00.000Z,1.4242,0,0,35.994,18.4247,37.8452,332.4359
2020-01-13T08:00:00.000Z,1.4334,0,0,35.987,32.9012,38.1592,332.4359
2020-01-13T08:15:00.000Z,1.4334,0,0,35.974,67.5572,39.2495,332.4359
2020-01-13T08:30:00.000Z,1.4334,0,0,35.968,100.0197,39.8154,332.4359
2020-01-13T08:45:00.000Z,1.4334,0,0,35.974,135.9918,41.442,306.9658
2020-01-13T09:00:00.000Z,1.4334,0,0,35.974,173.7185,41.9945,290.5556
2020-01-13T09:15:00.000Z,1.4334,0,0,35.955,247.4173,43.7804,290.5556
2020-01-13T09:30:00.000Z,1.4288,0,0,35.948,285.5827,44.9527,290.5556
2020-01-13T09:45:00.000Z,1.4242,0,0,35.935,314.5358,47.1138,121.7521
2020-01-13T10:00:00.000Z,1.4242,0,0,35.922,338.6633,48.1539,134.9145
2020-01-13T10:15:00.000Z,1.4288,0,0,35.941,362.7909,49.3701,135.8547
2020-01-13T10:30:00.000Z,1.4242,0,0,35.928,386.0411,50.665,137.3077
2020-01-13T10:45:00.000Z,1.4242,0,0,35.922,407.5366,51.2155,137.3077
2020-01-13T11:00:00.000Z,1.4196,0,0,35.928,424.6452,52.2635,137.3077
2020-01-13T11:15:00.000Z,1.4242,0,0,35.922,443.5086,52.8068,137.3077
2020-01-13T11:30:00.000Z,1.4242,0,0,35.928,454.037,53.3027,137.3077
2020-01-13T11:45:00.000Z,1.4242,0,0,35.941,464.1267,55.1795,137.3932
2020-01-13T12:00:00.000Z,1.4196,0,0,35.955,474.2164,55.5342,191.1538
2020-01-13T12:15:00.000Z,1.4242,0,0,35.955,479.9193,55.9763,191.1538
2020-01-13T12:30:00.000Z,1.4196,0,0,35.968,481.2353,56.9885,191.1538
2020-01-13T12:45:00.000Z,1.4196,0,0,35.981,471.5843,56.769,186.0256
2020-01-13T13:00:00.000Z,1.4242,0,0,35.987,463.2493,56.9446,205.1709
2020-01-13T13:15:00.000Z,1.4288,0,0,36.027,453.5983,57.4703,205.2564
2020-01-13T13:30:00.000Z,1.4242,0,0,36.027,437.8057,58.1252,205.2564
2020-01-13T13:45:00.000Z,1.4288,0,0,36.046,420.6971,58.1688,208.0769
2020-01-13T14:00:00.000Z,1.4288,0,0,36.072,400.079,59.6878,208.0769
2020-01-13T14:15:00.000Z,1.4242,0,0,36.099,378.1448,59.1683,207.9915
2020-01-13T14:30:00.000Z,1.4242,0,0,36.125,353.1399,59.8175,208.0769
2020-01-13T14:45:00.000Z,1.4288,0,0,36.144,325.5028,58.7778,354.9145
2020-01-13T15:00:00.000Z,1.4288,0,0,36.158,295.2337,59.0382,354.7436
2020-01-13T15:15:00.000Z,1.4288,0,0,36.197,263.2098,58.8647,5
2020-01-13T15:30:00.000Z,1.4288,0,0,36.21,228.1152,58.8212,23.0342
2020-01-13T15:45:00.000Z,1.4334,0,0,36.243,186.4403,58.9949,25.6838
2020-01-13T16:00:00.000Z,1.4288,0,0,36.256,106.6,58.8647,35
2020-01-13T16:15:00.000Z,1.4288,0,0,36.289,69.7506,58.4301,42.6068
2020-01-13T16:30:00.000Z,1.4334,0,0,36.296,39.4815,58.1252,42.6068
2020-01-13T16:45:00.000Z,1.4334,0,0,36.335,20.1794,57.9508,42.6068
2020-01-13T17:00:00.000Z,1.4334,0,0,36.348,7.4576,57.12,42.6068
2020-01-13T17:15:00.000Z,1.4334,0,0,36.355,11.4058,55.888,42.6068
2020-01-13T17:30:00.000Z,1.4334,0,0,36.381,0,55.5785,42.6068
2020-01-13T17:45:00.000Z,1.4334,0,0,36.374,0,53.7071,42.6923
2020-01-13T18:00:00.000Z,1.4334,0,0,36.381,0,53.752,42.6923
2020-01-13T18:15:00.000Z,1.4334,0,0,36.401,0,52.6712,42.6923
2020-01-13T18:30:00.000Z,1.4334,0,0,36.414,0,52.7616,42.6923
2020-01-13T18:45:00.000Z,1.4334,0,0,36.434,0,52.2182,42.6923
2020-01-13T19:00:00.000Z,1.438,0,0,36.44,0,51.991,42.6923
2020-01-13T19:15:00.000Z,1.4334,0,0,36.44,0,51.6267,42.6068
2020-01-13T19:30:00.000Z,1.4334,0,0,36.447,0,51.0781,42.6923
2020-01-13T19:45:00.000Z,1.4334,0,0,36.454,0,50.665,42.6923
2020-01-13T20:00:00.000Z,1.4334,0,0,36.434,0,49.6953,42.6068
2020-01-13T20:15:00.000Z,1.4334,0,0,36.447,0,48.5765,42.6923
2020-01-13T20:30:00.000Z,1.4334,0,0,36.44,0,45.967,42.6068
2020-01-13T20:45:00.000Z,1.4334,0,0,36.44,0,45.5818,42.7778
2020-01-13T21:00:00.000Z,1.4334,0,0,36.427,0,45.5336,57.6496
2020-01-13T21:15:00.000Z,1.4334,0,0,36.427,0,45.919,57.6496
2020-01-13T21:30:00.000Z,1.4334,0,0,36.407,0,45.8709,57.5641
2020-01-13T21:45:00.000Z,1.4334,0,0,36.414,0,45.3887,57.6496
2020-01-13T22:00:00.000Z,1.4334,0,0,36.421,0,43.7804,57.6496
2020-01-13T22:15:00.000Z,1.4334,0,0,36.414,0,43.9768,57.5641
2020-01-13T22:30:00.000Z,1.4334,0,0,36.401,0,44.8555,57.6496
2020-01-13T22:45:00.000Z,1.4334,0,0,36.388,0,43.4358,57.5641
2020-01-13T23:00:00.000Z,1.4334,0,0,36.374,0,42.4442,57.6496
2020-01-13T23:15:00.000Z,1.4334,0,0,36.361,0,42.9908,57.6496
2020-01-13T23:30:00.000Z,1.4334,0,0,36.368,0,41.593,57.6496
2020-01-13T23:45:00.000Z,1.4334,0,0,36.342,0,41.6433,57.6496
2020-01-14T00:00:00.000Z,1.4288,0,0,36.328,0,41.2402,57.6496
2020-01-14T00:15:00.000Z,1.4288,0,0,36.328,0,41.038,57.6496
2020-01-14T00:30:00.000Z,1.4288,0,0,36.322,0,41.2907,57.6496
2020-01-14T00:45:00.000Z,1.4334,0,0,36.315,0,41.5427,57.6496
2020-01-14T01:00:00.000Z,1.4334,0,0,36.296,0,42.2446,57.6496
2020-01-14T01:15:00.000Z,1.4334,0,0,36.276,0,42.2446,57.6496
2020-01-14T01:30:00.000Z,1.4288,0,0,36.289,0,42.5438,57.6496
2020-01-14T01:45:00.000Z,1.4334,0,0,36.276,0,42.1446,57.6496
2020-01-14T02:00:00.000Z,1.4334,0,0,36.263,0,41.4923,57.6496
2020-01-14T02:15:00.000Z,1.4334,0,0,36.256,0,41.8441,57.6496
2020-01-14T02:30:00.000Z,1.4334,0,0,36.236,0,42.6433,62.6068
2020-01-14T02:45:00.000Z,1.4334,0,0,36.243,0,42.8421,64.3162
2020-01-14T03:00:00.000Z,1.4334,0,0,36.236,0,42.494,67.8205
2020-01-14T03:15:00.000Z,1.4334,0,0,36.223,0,42.0446,87.1368
2020-01-14T03:30:00.000Z,1.4334,0,0,36.21,0,42.2945,95.7692
2020-01-14T03:45:00.000Z,1.4334,0,0,36.197,0,42.7924,96.1111
2020-01-14T04:00:00.000Z,1.4334,0,0,36.204,0,43.0404,96.1111
2020-01-14T04:15:00.000Z,1.4334,0,0,36.217,0,43.3371,96.1111
2020-01-14T04:30:00.000Z,1.4334,0,0,36.204,0,43.4851,96.0256
2020-01-14T04:45:00.000Z,1.4334,0,0,36.19,0,43.6329,96.0256
2020-01-14T05:00:00.000Z,1.4334,0,0,36.184,0,43.7804,96.1111
2020-01-14T05:15:00.000Z,1.4334,0,0,36.177,0,44.0748,101.7521
2020-01-14T05:30:00.000Z,1.4334,0,0,36.171,0,44.0258,101.7521
2020-01-14T05:45:00.000Z,1.4334,0,0,36.164,0,44.5635,104.7436
2020-01-14T06:00:00.000Z,1.438,0,0,36.158,0,44.466,104.7436
2020-01-14T06:15:00.000Z,1.438,0,0,36.164,0,44.2217,104.7436
